place_name,place_type,latitude,longitude,type
Hernandez-Martinez,shop,-89.227477,27.364602,Place
Espinoza and Sons,museum,71.523439,162.872517,Place
"Richardson, Nguyen and Baker",shop,46.084322,-163.536443,Place
Frank-Vargas,park,11.139860,76.296916,Place
"Kennedy, Campbell and Fritz",museum,-77.8965345,24.417329,Place
Wall-Washington,restaurant,-68.223376,127.456055,Place
Edwards Ltd,restaurant,1.5285015,44.568713,Place
"Perez, Oliver and Fuller",restaurant,-34.5333295,15.814597,Place
Griffin-Wiley,park,-22.6875645,-132.283557,Place
Holmes Group,restaurant,-76.4510425,72.391164,Place
Cox Inc,shop,52.5378265,-155.707476,Place
Mccullough Group,museum,-32.000749,172.931439,Place
Henderson-Thomas,shop,-78.1336585,70.221433,Place
"Williams, Morgan and Williamson",restaurant,3.358007,-32.330454,Place
Yu-Griffin,park,-79.302038,0.628215,Place
Watson Inc,museum,60.2941185,98.747915,Place
Shields-Swanson,museum,-83.155195,-3.380512,Place
Williams PLC,museum,-19.2088075,112.586295,Place
Herrera-Villarreal,restaurant,70.5701555,-150.526856,Place
Wilson-Snyder,park,7.2790335,-39.650228,Place
Sosa Group,park,-68.842213,173.251951,Place
"Osborne, Jenkins and Butler",restaurant,-79.441760,-52.999105,Place
Hamilton Inc,shop,-30.438401,135.190488,Place
"Eaton, Miles and Martin",shop,51.525329,79.667070,Place
Myers Ltd,park,10.0716095,-114.799691,Place
Carter PLC,park,-19.6786365,11.657618,Place
"Moore, Williams and Davis",park,-29.085601,-104.875959,Place
Callahan-Robbins,park,70.297310,19.480192,Place
Hale Group,museum,-54.8609105,112.534831,Place
"Klein, Steele and Williams",museum,12.7588085,134.848691,Place
Martin and Sons,park,50.3592775,-33.512621,Place
"Miller, Cross and Lee",shop,-8.667724,-118.295136,Place
"Vasquez, Foley and Harper",park,8.480532,-103.536814,Place
"Hines, Watson and Blair",museum,73.6173645,33.417325,Place
"Underwood, Butler and King",museum,-50.538879,91.406727,Place
"Harris, Snow and Kelly",restaurant,-17.7319245,134.830531,Place
"Vasquez, Cortez and Bright",restaurant,1.6155515,119.509329,Place
Olson-Campbell,shop,-84.8884555,132.221039,Place
Gray Inc,restaurant,-65.717333,-23.063729,Place
Phillips-Bryant,park,6.0945095,-155.418604,Place
Wilson-Jimenez,shop,54.888090,73.806849,Place
"Garza, Ramirez and Garrett",park,23.145164,127.649094,Place
Ingram-Dillon,shop,-47.703190,-55.468854,Place
"Quinn, Howell and Moreno",museum,-83.0791035,34.357775,Place
Johnson PLC,museum,-16.1390465,73.325054,Place
